label,pred,error_type,text_clean,domain
fake,real,fake_as_real,آنجہانی برطانوی رائٹر کے Jodi Picoltناول سے ماخوذ اس فلم کو ٹام ہوپراور ڈینی بوائل نے پروڈیوس کیا ہے۔فلم کی کاسٹ میں جونی ڈیپ، لِن مرینڈا، ایما سٹون ،ایمیلی مورٹیمر، اینی ہیتھوے اورجولی والٹر جلوۂ گر ہو ںگے۔ایکشن مناظر سے بھرپور یہ میوزیکل کلاسیکل فلم رواں سال 14 فروری کو سنیما گھروں میں آگ لگانے آرہی ہے۔,sbz
real,fake,real_as_fake,ونڈیز ونڈے ٹیم کا اعلان ڈھاکہ 5 دسمبر (سیاست ڈاٹ کام ) بنگلہ دیش کے خلاف آئندہ تین میچوں کی سیریز کیلئے مہمان ویسٹ انڈیز ٹیم کا اعلان کردیا گیا ہے اورمعینہ ٹیم میں ڈیرن براوو کی واپسی ہوئی ہے براوو نے اکتوبر 2016 میں اپنا آخری ونڈے مقابلہ کھیلا تھا تاہم انہوں نے ہندوستان کے خلاف حالیہ ٹی 20 سیریز میں ونڈیز کی نمائندگی کی ہے کپتان ہولڈ رہنوز زخمی ہیں ان کے مقام پر رومن پاول کپتان ہوں گے,sp
real,fake,real_as_fake,شیئر کریں: لوکا گواڈنینوguadagninoکی ہدایرکاری میں بننے والی فلم کی کہانی برطانیہ کی معروف ڈانسسنگ کمپنی میں ڈائریکٹر، ڈانسر اور ماہر نفسیات کی پرسرار گمشدگی لوگوں کیلئے ڈراؤنا خواب بن جاتی ہے،تجسس سے بھر پور فلم میں ڈاکوٹا جونسنDakota johnson،ٹیلڈا سونٹنtilda swinton،میا گوتھmia ghth سمیت دیگر اداکا ر اپنی صلاحیتوں کے جوہر دکھا رہے ہیں ،، فلم چھبیس اکتوبر کو مداحوں کو اپنے سحر میں جکڑے گی۔,sbz
fake,real,fake_as_real,لالی وڈ کی نئی فور ڈی اینیمیٹیڈ ایکشن فلم دی سیکرٹ لائف آف برڈز کا پوسٹر جاری کر دیا گیا ۔2012 میں ریلیز ہونےوالی فلم دی سیکرٹ لائف آف برڈز کے اس سیکوئل کی کہانی جنگلی پرندوں کی زندگی پر مشتمل ہے ۔ جنگلی پرندوں کی زندگی کے اچھوتے پہلو کی عکاسی کرتی اس ایکشن فلم کے گانے مشہور لالیوڈ اداکار شان، جان ریمبو، مہوش حیات، غلام محی الدین اور سونیا حسین کی آوازوں میں ریکارڈ کئے گئے ہیں۔ فلم وارنر بروز پکچرز کے تحت آئندہ سال 18 ستمبر کو تھیٹرز میں نمائش کیلئے پیش کی جائے گی۔,sbz
fake,real,fake_as_real,وزرات خزانہ نے برآمد کنندگان کے لیے گیس سبسڈی کی مد میں 25 ارب 15 کروڑ روپے سوئی نادرن کو جاری کرنے سے انکار کر دیا وزرات خزانہ کے جاری کردہ نوٹیفکیشن کے مطابق سبسڈی کی مد میں جاری کی جانے والی رقم بیلنس میں کمی کی وجہ سے نہیں کی گئی یہ سبسڈی 5 برآمدی شعبوں ٹیکسٹائل کارپٹس چمڑے اسپورٹس سرجیکل آلات کی صنعتوں کو گیس اور ایل این جی فراہمی پر جاری کرنے کی درخواست کی گئی لیکن وفاقی کابینہ نے 6 دسمبر کو سبسڈی جاری نہ کرنے کی منظوری دی تھی جس کے بعد وزرات خزانہ نے سبسڈی جاری کرنے سے انکار کر دیا,bus
real,fake,real_as_fake,شیئر کریں: ہالی وڈ کی نئی تھری ڈی اینیمیٹیڈ کامیڈی فلم دی سیکرٹ لائف آف پیٹس2 کاٹریلر جاری کر دیا گیا ۔2016 میں ریلیز ہونےوالی فلم دی سیکرٹ لائف آف پیٹس کے اس سیکوئل کی کہانی پالتو جانوروں کی زندگی پر مبنی پر ہے ۔ پالتو جانوروں کی زندگی کے انوکھے پہلو کی عکاسی کرتی اس کامیڈی فلم کے ڈائیلاگ مشہور ہالیوڈاداکار کیون ہارٹ ، البرٹ بروکس ، ہنی بال برس، ایرک اسٹون اسٹریٹ اور لیوئس سیکے کی آوازوں میں ریکارڈ کئے گئے ہیں۔ فلم یونیورسل پکچرز کے تحت آئندہ سال 7جون کو سنیما گھروں میں نمائش کیلئے پیش کی جائے گی۔,sbz
real,fake,real_as_fake,شیئر کریں: کولمبیا میں بچوں کو تعلیم کی روشنی سے منور کرنے کیلئے شکیرا نے 40 لاکھ ڈالر عطیہ کر دئیے، اس حوالے سے منعقدہ تقریم کے دوران گلوکارہ بچوں کے ساتھ گھل مل گئیں۔گلوکارہ شکیرا 2003 سے اقوام متحدہ کی خیر سگالی سفیر ہیں، انھوں نے بچوں کی مدد سے ایک سکول کی بنیاد رکھی ہے اور ان کو علم کی روشنی سے منور کرنے کیلئے 40 لاکھ ڈالر عطیہ بھی کر دئیے۔ کولمبیا میں تقریب کے دوران گلوکارہ بچوں کے ساتھ گھل مل گئیں اور ان کی فرمائش پر تصاویر بھی بنوائیں۔ شکیرا کے عطیے پر سکول اساتذہ نے ان سے اظہار تشکر بھی کیا۔,sbz
fake,real,fake_as_real,نیویارک (اُردو پوائنٹ اخبارتازہ ترین 08 دسمبر2018ء) امریکا میں سویابین کے نرخ پانچ ہفتے کی کم ترین سطح پر رہے جس کی وجہ چین کے ساتھ کشیدگی کے بعد بحال ہونے والی تجارت باعث بنی جنس کی برآمدات میں کمی کی توقع ہے گندم اور مکئی کے نرخوں میں بھی کمی ریکارڈ کی گئی شکاگو بورڈ آف ٹریڈمیں سویابین کے وقفے سے قبل جنوری کیلئے سودے 8.50 سینٹ بڑھ کر 13.16 ڈالر فی بشل طے پائے گندم کے مارچ کیلئے سودے 14.25 سینٹ بڑھ کر 9.31 ڈالر فی بشل کے قریب طے پائے مکئی کے مارچ کیلئے سودے 5.25 سینٹ اضافے کے ساتھ 8.85 ڈالر فی بشل طے پائے,bus
real,fake,real_as_fake,آئی بی ایم یونیورسٹی آف واٹرلو اور ٹیکنیکل یونیورسٹی آف میونخ کے محققین نے ثابت کیا ہے کہ جو کام کوانٹم کمپیوٹرز کر سکتے ہیں وہ عام کمپیوٹروں کے لیے ناممکن ہیں اس ٹیم نے ثابت کیا کہ کوانٹم کمپیوٹر پر جو الگورتھم چلائے جا سکتے ہیں یا جو حساب کتاب کیے جا سکتے ہیں وہ عام کمپیوٹروں کے لیے ممکن نہیں اپنے تجربات کے دوران اس ٹیم نے ایک کوانٹم سرکٹ ڈیزائن کیا جس نے ایک پیچیدہ الجبرے کے فارمولے کو اس طرح حل کیا کہ اس میں دو جگہوں پر ایک ساتھ کام ہوا محققین کے مطابق یہ مخصوص فارمولا روایتی کمپیوٹر سرکٹ حل نہیں کر سکتا تھا,tch
real,fake,real_as_fake,کراچی ( آن لائن ) عوام کو اب پاکستان سے باہرکریڈٹ یا ڈیبٹ کارڈ استعمال کرنا مہنگا پڑے گا حکومت نے ٹیکس عائد کر دیا گذشتہ حکومت نے جاتے جاتے بھی عوام کی مشکل میں اضافہ کیا اب چاہئے اب سعودیہ عرب عمرہ یا حج کے سلسلے میں جارہے ہیں یا کسی کام کے سلسلے میں دبئی سمیت کسی اور ملک جا رہے ہیں بینک ڈیبٹ یا کریڈٹ کارڈ کے استعمال پر ٹیکس ادا کرنا ہو گا ایف بی آر کے مطابق بیرون ممالک کارڈ استعمال کرنے کی صورت میں نان فائلر پر 3 فیصد اور فائلر پر ایک فیصد ٹیکس عائد کیا گیا ہے یعنی اس میں بھی فائلرز کو 2 فیصد کا فائدہ ہی ہو گا,bus
